Comment,Designator,Footprint,LCSC,Quantity
470k,R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
470k,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
NCJ9FI-H,J5,Jack_XLR-6.35mm_Neutrik_NCJ9FI-H_Horizontal,,1
10uF,C4,CP_Radial_D5.0mm_P2.00mm,,1
470k,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
NCJ9FI-H,J3,Jack_XLR-6.35mm_Neutrik_NCJ9FI-H_Horizontal,,1
10uF,C8,CP_Radial_D5.0mm_P2.00mm,,1
470k,R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
INPUTS,J1,SHDRRA12W65P254_2X6_1758X1090X1005P,,1
470k,R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
470k,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
NCJ9FI-H,J4,Jack_XLR-6.35mm_Neutrik_NCJ9FI-H_Horizontal,,1
10uF,C3,CP_Radial_D5.0mm_P2.00mm,,1
NCJ9FI-H,J2,Jack_XLR-6.35mm_Neutrik_NCJ9FI-H_Horizontal,,1
10uF,C2,CP_Radial_D5.0mm_P2.00mm,,1
10uF,C7,CP_Radial_D5.0mm_P2.00mm,,1
470k,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
470k,R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
10uF,C6,CP_Radial_D5.0mm_P2.00mm,,1
10uF,C5,CP_Radial_D5.0mm_P2.00mm,,1
10uF,C1,CP_Radial_D5.0mm_P2.00mm,,1
